あさって,1
あなた,1
ありがとう,1
いきもの,1
いす,1
いっぱい,1
イヌ,1
おいしい,1
おいしさ,1
おかし,1
おじいさん,1
おととい,1
お茶,1
かばん,1
カメラ,1
かわいい,1
くつした,1
ゲーム,1
スプーン,1
スポーツ,1
ねこ,1
ねずみ,1
ハサミ,1
ピンク,1
めがね,1
りんご,1
雨,1
黄色,1
音,1
夏,1
家,1
花,1
海,1
丸,1
顔,1
泣く,1
魚,1
靴,1
兄,1
犬,1
口,1
黒,1
黒い,1
山,1
仕事,1
姉,1
車,1
手,1
石,1
雪,1
川,1
足,1
虫,1
鳥,1
弟,1
頭,1
鼻,1
腹,1
本,1
目,1
友達,1
1000年後,2
100円玉,2
10円玉,2
10月,2
11月,2
12月,2
1円玉,2
1月,2
1番,2
2月,2
3月,2
3連休,2
4月,2
500円玉,2
5円玉,2
5月,2
6月,2
7月,2
80代,2
8月,2
9月,2
CM,2
DVD,2
アーティスト,2
アーモンド,2
あいうえお,2
あいこ,2
アイス,2
アイスキャンディー,2
アイスクリーム,2
アイスコーヒー,2
アイドル,2
アイロン,2
アクセサリ,2
あぐら,2
アゲハチョウ,2
あだ名,2
アツアツ,2
アニメ,2
アブラゼミ　,2
あみだくじ,2
アリ,2
アルバイト,2
アルバム,2
アルファベット,2
あんぱん,2
いじわる,2
いちご,2
いつまでも,2
イベント,2
いも,2
いもむし,2
イルカ,2
インターネット,2
インタビュー,2
ウイルス,2
ウーロン茶,2
うちわ,2
うどん,2
うなぎ,2
エビ,2
エンジン,2
オーケストラ,2
オーディション,2
おかず,2
おこづかい,2
おたま,2
おでん,2
おとなしい,2
おみやげ,2
オムレツ,2
オランウータン,2
オリンピック,2
オレンジ,2
お化け,2
お気に入り,2
お好み焼き,2
お笑い,2
お正月,2
お布団,2
お腹いっぱい,2
お弁当,2
お母さん,2
カーテン,2
カエル,2
かかと,2
カステラ,2
ガソリン,2
ガソリンスタンド,2
カツ丼,2
カニ,2
カフェ,2
カブト虫,2
かまぼこ,2
カメレオン,2
カモメ,2
からあげ,2
カラオケ,2
ガラスの破片,2
カレー,2
カレーライス,2
カレンダー,2
カンガルー,2
きぐるみ,2
キノコ,2
ギャグ,2
キャベツ,2
キャラメル,2
キラキラ,2
キリン,2
くじら,2
くすぐる,2
クッション,2
ぐにゃぐにゃ,2
クマ,2
クラゲ,2
クラシック,2
グラス,2
クリームパン,2
グリーンピース,2
クリスマス,2
クリスマスツリー,2
クレープ,2
クローゼット,2
クワガタ,2
ケーキ,2
ケータイ,2
ケチャップ,2
げんこつ,2
コイン,2
コーヒー,2
コーヒー,2
コーラ,2
ゴール,2
ココナッツ,2
コショウ,2
こたつ,2
ゴミ,2
ゴミ箱,2
コンセント,2
コンタクト,2
コンテスト,2
こんにゃく,2
コンピューター,2
ご飯,2
サーフィン,2
さくらんぼ,2
サッカー,2
サツマイモ,2
サボテン,2
サメ,2
サラダ,2
サラリーマン,2
サランラップ,2
サングラス,2
サンタクロース,2
サンダル,2
シーソー,2
しいたけ,2
しっとり,2
ジム,2
じゃがいも,2
シャボン玉,2
シャワー,2
じゃんけんぽい,2
じゃんけんぽん,2
シュークリーム,2
シュレッダー,2
しりとり,2
スイカ,2
スイッチ,2
スカート,2
すごろく,2
スズメ,2
ステッカー,2
ストラップ,2
ストレート,2
スパゲッティ,2
スプレー,2
すべり台,2
スマートフォン,2
スマホ,2
スリッパ,2
ズルい,2
セミ,2
セロテープ,2
せんべい,2
そうめん,2
ソース,2
ソーセージ,2
そば,2
ソフトクリーム,2
ダイエット,2
ダイビング,2
タクシー,2
たくましい,2
タバコ,2
たまねぎ,2
だんご,2
たんこぶ,2
ダンス,2
たんぽぽ,2
チーズ,2
チキンナゲット,2
ちくわ,2
チャーハン,2
チャンネル,2
チャンピオン,2
チューリップ,2
チョウチョ,2
チョコレート,2
チワワ,2
チンパンジー,2
つば,2
つまようじ,2
つま先,2
つらい,2
つらぬく,2
ティッシュ,2
テニス,2
テレビ,2
テントウムシ,2
トウガラシ,2
とうもろこし,2
ドーナツ,2
トカゲ,2
どじょう,2
ドッヂボール,2
トップ,2
トナカイ,2
ドライヤー,2
ドラマ,2
ドラム,2
トランプ,2
トランペット,2
ドリル,2
トレーニング,2
ドレッシング,2
ドロドロ,2
とろろ,2
トロンボーン,2
トンネル,2
トンボ,2
ナイフ,2
なす,2
ナタデココ,2
